"SMPT_NORTHING","SMPT_EASTING","SMPT","DATE_TIME","MEAS_RESULT","MEAS_DETERMINAND_CODE","MEAS_SIGN","SAMP_ID"
169143,327659,"EST HOPE FIX ST",2016-06-09 09:28:00,1e-04,"0733","<",4650569
169143,327659,"EST HOPE FIX ST",2016-06-09 09:28:00,1e-04,"6399","<",4650569
169143,327659,"EST HOPE FIX ST",2016-09-22 10:34:00,1e-04,"0714","<",4659603
169143,327659,"EST HOPE FIX ST",2016-09-22 10:34:00,0.00011,"0731",NA,4659603
169143,327659,"EST HOPE FIX ST",2016-09-22 10:34:00,1e-04,"0733","<",4659603
169143,327659,"EST HOPE FIX ST",2016-09-22 10:34:00,1e-04,"6399","<",4659603
169143,327659,"EST HOPE FIX ST",2017-02-15 08:59:00,0.0456,"0714",NA,4671957
169143,327659,"EST HOPE FIX ST",2017-02-15 08:59:00,0.0488,"0731",NA,4671957
169143,327659,"EST HOPE FIX ST",2017-02-15 08:59:00,0.0244,"0733",NA,4671957
169143,327659,"EST HOPE FIX ST",2017-02-15 08:59:00,0.05,"6399",">",4671957
179153,336015,"EST OFF NEWPORT",2015-03-10 10:15:00,0.01,"0714","<",4614221
179153,336015,"EST OFF NEWPORT",2015-03-10 10:15:00,0.01,"0731","<",4614221
179153,336015,"EST OFF NEWPORT",2015-03-10 10:15:00,0.01,"0733","<",4614221
179153,336015,"EST OFF NEWPORT",2015-03-10 10:15:00,0.01,"6399","<",4614221
179153,336015,"EST OFF NEWPORT",2015-12-14 09:09:00,0.01,"0733","<",4637053
179153,336015,"EST OFF NEWPORT",2015-12-14 09:09:00,0.01,"6399","<",4637053
179153,336015,"EST OFF NEWPORT",2015-12-14 09:09:00,0.01,"0714","<",4637053
179153,336015,"EST OFF NEWPORT",2015-12-14 09:09:00,0.01,"0731","<",4637053
179153,336015,"EST OFF NEWPORT",2016-09-01 08:37:00,0.00819,"0714",NA,4658647
179153,336015,"EST OFF NEWPORT",2016-09-01 08:37:00,0.0097,"0731",NA,4658647
179153,336015,"EST OFF NEWPORT",2016-09-01 08:37:00,0.00408,"0733",NA,4658647
179153,336015,"EST OFF NEWPORT",2016-09-01 08:37:00,0.00846,"6399",NA,4658647
179153,336015,"EST OFF NEWPORT",2015-02-02 09:11:00,0.01,"0714","<",4610607
